,LIFESTAGE,PREMIUM_CUSTOMER,TOT_SALES
6,OLDER FAMILIES,Budget,168363.25
19,YOUNG SINGLES/COUPLES,Mainstream,157621.6
13,RETIREES,Mainstream,155677.05
15,YOUNG FAMILIES,Budget,139345.85
9,OLDER SINGLES/COUPLES,Budget,136769.8
10,OLDER SINGLES/COUPLES,Mainstream,133393.8
11,OLDER SINGLES/COUPLES,Premium,132263.15
12,RETIREES,Budget,113147.8
7,OLDER FAMILIES,Mainstream,103445.55
14,RETIREES,Premium,97646.05
16,YOUNG FAMILIES,Mainstream,92788.75
1,MIDAGE SINGLES/COUPLES,Mainstream,90803.85
17,YOUNG FAMILIES,Premium,84025.5
8,OLDER FAMILIES,Premium,81958.4
18,YOUNG SINGLES/COUPLES,Budget,61141.6
2,MIDAGE SINGLES/COUPLES,Premium,58432.65
20,YOUNG SINGLES/COUPLES,Premium,41642.1
0,MIDAGE SINGLES/COUPLES,Budget,35514.8
3,NEW FAMILIES,Budget,21928.45
4,NEW FAMILIES,Mainstream,17013.9
5,NEW FAMILIES,Premium,11491.1
