,STORE_NBR,TOT_SALES
225,226,18905.45
87,88,16333.25
164,165,15973.75
39,40,15559.5
236,237,15539.5
57,58,15251.45
198,199,14797.0
3,4,14647.65
202,203,14551.6
25,26,14469.3
80,81,14361.95
200,201,14298.7
129,130,14289.65
71,72,14204.4
180,181,14108.45
216,217,13993.6
94,95,13915.5
260,261,13859.75
237,238,13708.4
209,210,13689.25
122,123,13468.4
124,125,13352.85
48,49,13287.7
74,75,13089.6
152,153,13042.05
193,194,13035.95
64,65,13015.05
230,231,12996.0
215,216,12993.1
58,59,12952.35
59,60,12927.7
249,250,12924.2
92,93,12813.8
2,3,12802.45
153,154,12699.25
6,7,12486.9
42,43,12384.55
212,213,12364.6
229,230,12287.0
35,36,12098.25
62,63,12085.0
155,156,12044.3
165,166,12029.85
178,179,11864.7
151,152,11855.8
78,79,11831.2
99,100,11830.7
127,128,11806.2
167,168,11797.6
174,175,11768.3
79,80,11756.9
132,133,11573.95
70,71,11550.8
258,259,11540.9
93,94,11474.65
111,112,11392.4
118,119,11338.5
177,178,11302.5
269,270,11293.95
68,69,11288.85
222,223,11248.15
156,157,11231.0
256,257,11223.5
268,269,11221.8
32,33,11164.0
113,114,11139.5
90,91,11021.9
136,137,10998.45
183,184,10937.55
159,160,10918.85
179,180,10872.5
137,138,10824.8
54,55,10760.15
105,106,10742.6
163,164,10718.9
12,13,10686.5
246,247,10651.5
85,86,10635.35
154,155,10628.95
226,227,10622.5
235,236,10621.0
61,62,10583.1
224,225,10566.6
112,113,10551.6
171,172,10545.6
56,57,10532.3
231,232,10485.3
104,105,10472.5
101,102,10440.7
96,97,10432.05
228,229,10417.9
195,196,10408.2
190,191,10404.7
108,109,10399.1
29,30,10359.5
115,116,10354.5
103,104,10344.4
220,221,10330.7
66,67,10326.0
206,207,10317.2
22,23,10305.8
9,10,10302.3
47,48,10213.4
38,39,10182.05
121,122,10101.6
100,101,10077.7
31,32,9983.5
182,183,9977.6
117,118,9938.55
82,83,9924.9
189,190,9884.2
146,147,9869.9
221,222,9788.6
161,162,9786.1
218,219,9771.6
128,129,9771.1
270,271,9721.8
109,110,9688.7
208,209,9666.7
44,45,9508.5
4,5,9500.8
14,15,9486.05
69,70,9483.0
240,241,9399.6
77,78,9381.25
27,28,9374.35
106,107,9302.7
207,208,9294.75
261,262,9261.1
23,24,9230.0
18,19,8972.9
211,212,8873.9
147,148,8819.0
143,144,8707.75
55,56,8393.05
201,202,5991.05
245,246,5954.2
241,242,5816.8
234,235,5728.15
172,173,5702.75
199,200,5544.6
259,260,5432.25
83,84,5396.3
141,142,5388.0
53,54,5370.85
24,25,5297.65
133,134,5246.35
20,21,5154.9
65,66,5142.0
26,27,5120.7
11,12,5009.9
149,150,4970.0
252,253,4918.7
63,64,4894.6
148,149,4865.0
125,126,4791.7
36,37,4728.45
170,171,4725.9
233,234,4712.3
28,29,4697.5
242,243,4677.6
250,251,4666.45
239,240,4655.5
271,272,4653.95
16,17,4636.6
173,174,4577.8
142,143,4554.7
46,47,4507.95
7,8,4499.2
181,182,4489.9
95,96,4386.7
214,215,4354.5
244,245,4305.6
33,34,4266.2
169,170,4248.3
227,228,4236.3
247,248,4186.1
81,82,4103.5
238,239,4086.85
8,9,4012.4
86,87,3991.6
114,115,3990.35
67,68,3927.5
72,73,3904.2
196,197,3882.7
144,145,3769.6
107,108,3733.1
21,22,3689.4
168,169,3534.7
120,121,3529.0
255,256,3491.4
102,103,3466.9
248,249,3388.2
17,18,3269.7
89,90,3163.1
37,38,3150.4
187,188,3086.0
76,77,3040.0
140,141,3025.4
45,46,3023.45
49,50,3009.8
219,220,3008.2
204,205,2966.8
186,187,2909.7
184,185,2868.6
254,255,2835.3
232,233,2826.9
175,176,2752.9
213,214,2720.4
52,53,2715.05
5,6,2684.9
162,163,2635.7
194,195,2608.25
267,268,2601.05
40,41,2570.2
263,264,2519.8
19,20,2519.25
130,131,2470.4
264,265,2433.4
110,111,2407.7
0,1,2393.6
88,89,2390.1
166,167,2297.6
73,74,2244.9
123,124,2118.4
135,136,2022.3
1,2,2005.8
50,51,2005.5
185,186,1906.7
150,151,1843.2
119,120,1810.15
265,266,1742.7
15,16,1632.1
253,254,1621.3
34,35,1608.9
97,98,1589.2
188,189,1386.9
60,61,562.9
131,132,495.40000000000003
51,52,465.3
203,204,456.0
217,218,419.0
13,14,410.7
223,224,392.9
134,135,380.1
126,127,376.9
191,192,361.3
157,158,350.9
138,139,340.3
158,159,338.9
43,44,336.2
257,258,335.9
160,161,335.2
243,244,331.75
262,263,300.5
266,267,275.4
145,146,275.1
41,42,257.8
197,198,252.7
139,140,244.9
98,99,221.9
176,177,211.2
116,117,161.8
30,31,14.8
84,85,13.9
192,193,13.1
91,92,9.2
205,206,7.6
251,252,7.4
10,11,6.699999999999999
75,76,6.0
210,211,5.2
